,Time,X,Y,Z
0,0.0,-959,-55,-47
1,39.0,-1037,-23,-35
2,78.0,-998,-109,-47
3,117.0,-1073,-62,-27
4,156.0,-1006,-51,-43
5,195.0,-1006,-98,-59
6,234.0,-1053,-70,-31
7,273.0,-1034,-117,-47
8,312.0,-1053,-125,-35
9,351.00000000000006,-1065,-74,-12
10,390.0,-1034,-113,-31
11,429.00000000000006,-1018,-133,-51
12,468.0,-1053,-109,-47
13,507.0,-1053,-82,-55
14,546.0,-1061,-90,-51
15,586.0000000000001,-1065,-59,-35
16,625.0,-1065,-8,-23
17,664.0,-1057,-55,-27
18,703.0000000000001,-1034,-74,-27
19,742.0,-1053,-47,-27
20,781.0,-1022,-70,-35
21,820.0000000000001,-1026,-82,-27
22,859.0000000000001,-1018,-90,-43
23,898.0,-1030,-43,-35
24,937.0,-1041,-86,-35
25,976.0000000000001,-1034,-78,-35
26,1015.0000000000001,-1014,-66,-43
27,1054.0,-1037,-74,-31
28,1093.0,-1022,-105,-35
29,1132.0000000000002,-1053,-94,-20
30,1171.0,-1045,-66,-23
31,1211.0,-1034,-82,-27
32,1250.0,-1041,-101,-20
33,1289.0000000000002,-1057,-94,-12
34,1328.0,-1045,-74,-20
35,1367.0,-1065,-27,-8
36,1406.0000000000002,-1049,-35,4
37,1445.0,-956,-203,-47
38,1484.0,-1010,-133,-35
39,1523.0000000000002,-1049,-113,-27
40,1562.0,-1022,-140,-74
41,1601.0000000000002,-1092,-82,-47
42,1640.0000000000002,-1053,-43,-66
43,1679.0,-1018,90,-55
44,1718.0000000000002,-1045,27,0
45,1757.0000000000002,-1006,-125,0
46,1796.0,-1057,-70,31
47,1836.0,-1065,-43,16
48,1875.0000000000002,-1026,-74,0
49,1914.0000000000002,-1026,-113,-16
50,1953.0,-991,-117,-59
51,1992.0000000000002,-1002,-4,-27
52,2031.0000000000002,-1006,4,-4
53,2070.0000000000005,-1006,-23,0
54,2109.0,-1014,-117,-4
55,2148.0,-1041,-90,0
56,2187.0000000000005,-1030,-43,-8
57,2226.0,-1037,-39,20
58,2265.0,-1049,-105,31
59,2304.0000000000005,-1018,-105,12
60,2343.0,-1022,-55,16
61,2382.0,-1026,-47,23
62,2421.0000000000005,-1053,-47,23
63,2461.0000000000005,-1026,-156,101
64,2500.0,-1034,-94,105
65,2539.0,-1076,-70,78
66,2578.0000000000005,-1178,-764,-788
67,2617.0,-1357,-1061,-952
68,2656.0,-1334,-1182,-952
69,2695.0000000000005,-1338,-1346,-967
70,2734.0,-1385,-1318,-959
71,2773.0,-1330,-1244,-1006
72,2812.0000000000005,-1330,-1197,-979
73,2851.0,-464,776,-156
74,2890.0,-484,784,-164
75,2929.0000000000005,-452,788,-199
76,2968.0,-480,796,-187
77,3007.0,-495,792,-179
78,3046.0000000000005,-495,811,-179
79,3086.0000000000005,-495,788,-187
80,3125.0,-480,796,-187
81,3164.0,-488,815,-187
82,3203.0000000000005,-464,807,-195
83,3242.0,-488,800,-172
84,3281.0,-476,784,-183
85,3320.0000000000005,-472,784,-191
86,3359.0000000000005,-464,784,-183
87,3398.0,-472,788,-191
