,Time,X,Y,Z
0,0.0,59,998,-43
1,39.0,47,956,-27
2,78.0,43,975,47
3,117.0,43,1002,74
4,156.0,12,956,35
5,195.0,12,917,4
6,234.0,27,959,-39
7,273.0,16,956,-47
8,312.0,8,944,35
9,351.00000000000006,16,1162,105
10,390.0,109,909,-152
11,429.00000000000006,-94,1112,-137
12,468.0,27,1030,66
13,507.0,39,1131,-98
14,546.0,23,1158,-82
15,586.0000000000001,-12,1092,0
16,625.0,20,1034,0
17,664.0,27,1170,-140
18,703.0000000000001,4,1100,-101
19,742.0,12,1092,-140
20,781.0,35,1361,-211
21,820.0000000000001,176,1104,-39
22,859.0000000000001,27,1170,-156
23,898.0,-43,1349,-203
24,937.0,16,1346,-101
25,976.0000000000001,43,1342,-160
26,1015.0000000000001,140,1388,-74
27,1054.0,74,1517,-156
28,1093.0,-27,1529,-257
29,1132.0000000000002,82,1595,-179
30,1171.0,179,1829,-191
31,1211.0,363,1767,-176
32,1250.0,484,1833,-168
33,1289.0000000000002,581,1825,-191
34,1328.0,651,1825,-324
35,1367.0,854,1919,-285
36,1406.0000000000002,893,1946,-429
37,1445.0,959,1911,-484
38,1484.0,893,1849,-390
39,1523.0000000000002,959,1802,-382
40,1562.0,924,1868,-394
41,1601.0000000000002,-948,-1548,-1739
42,1640.0000000000002,-889,-1505,-1724
43,1679.0,-897,-1521,-1658
44,1718.0000000000002,-901,-1513,-1782
45,1757.0000000000002,-874,-1533,-1736
46,1796.0,-893,-1591,-1759
47,1836.0,-881,-1580,-1767
48,1875.0000000000002,121,608,-761
49,1914.0000000000002,94,585,-803
50,1953.0,125,601,-768
51,1992.0000000000002,109,612,-819
52,2031.0000000000002,86,569,-807
53,2070.0000000000005,109,589,-800
54,2109.0,94,569,-823
55,2148.0,90,581,-827
56,2187.0000000000005,82,566,-835
57,2226.0,98,577,-811
58,2265.0,78,585,-815
59,2304.0000000000005,101,581,-807
60,2343.0,117,577,-827
61,2382.0,90,573,-839
62,2421.0000000000005,101,562,-819
63,2461.0000000000005,86,569,-842
64,2500.0,98,562,-831
65,2539.0,101,562,-823
66,2578.0000000000005,94,550,-823
67,2617.0,98,566,-819
68,2656.0,113,577,-811
69,2695.0000000000005,101,550,-827
70,2734.0,98,550,-819
71,2773.0,98,581,-815
72,2812.0000000000005,94,569,-831
73,2851.0,101,569,-831
74,2890.0,94,569,-819
75,2929.0000000000005,98,569,-827
76,2968.0,101,569,-823
77,3007.0,98,534,-827
78,3046.0000000000005,105,577,-819
79,3086.0000000000005,74,569,-823
80,3125.0,98,546,-831
81,3164.0,62,569,-800
82,3203.0000000000005,74,562,-831
83,3242.0,129,554,-850
84,3281.0,109,530,-827
85,3320.0000000000005,129,585,-831
86,3359.0000000000005,94,573,-831
87,3398.0,105,589,-854
88,3437.0000000000005,109,573,-819
89,3476.0000000000005,109,554,-823
90,3515.0,109,581,-792
91,3554.0000000000005,94,585,-827
92,3593.0000000000005,86,562,-792
93,3632.0,90,573,-788
94,3671.0000000000005,78,597,-803
95,3711.0000000000005,74,597,-792
96,3750.0000000000005,66,585,-811
97,3789.0,59,608,-819
98,3828.0000000000005,59,601,-827
99,3867.0000000000005,47,585,-839
100,3906.0,66,585,-807
101,3945.0000000000005,8,562,-846
102,3984.0000000000005,31,569,-827
103,4023.0000000000005,31,550,-823
104,4062.0000000000005,35,550,-819
105,4101.0,43,554,-811
106,4140.000000000001,39,554,-823
107,4179.0,35,577,-819
108,4218.0,47,581,-835
109,4257.000000000001,31,566,-842
110,4296.0,47,577,-831
111,4336.0,51,577,-831
112,4375.0,27,569,-827
113,4414.000000000001,47,569,-819
114,4453.0,51,581,-827
115,4492.0,47,573,-839
116,4531.000000000001,55,605,-827
117,4570.0,55,589,-819
118,4609.0,47,569,-803
119,4648.000000000001,35,550,-792
120,4687.0,51,542,-796
121,4726.0,35,550,-815
122,4765.000000000001,62,577,-815
123,4804.0,62,589,-823
