average,rrData
79.6,757
79.200005,765
79.200005,757
79.0,765
79.3,750
79.5,750
79.9,742
80.200005,742
80.1,750
80.3,742
80.200005,750
80.1,750
80.3,742
80.0,757
80.0,750
79.8,757
79.9,750
79.9,750
79.700005,757
79.6,757
79.700005,750
79.8,750
79.9,750
79.9,750
79.700005,757
79.3,765
79.3,757
79.0,765
78.8,765
78.700005,765
78.9,757
79.0,757
79.3,750
79.3,757
79.0,765
78.8,765
78.700005,765
78.9,757
78.700005,765
78.6,765
78.3,773
77.8,781
77.5,781
77.3,781
77.1,781
77.5,765
77.5,773
78.0,757
78.6,750
78.8,757
79.200005,750
79.4,750
79.4,757
79.4,757
79.1,765
78.9,765
79.0,757
79.1,757
79.4,750
79.4,757
79.4,757
79.4,757
79.6,750
79.700005,750
80.1,742
80.1,750
80.3,742
80.5,742
80.6,742
80.4,750
80.3,750
80.0,757
79.5,765
79.4,757
79.1,765
79.4,750
79.1,765
78.9,765
78.700005,765
79.1,750
79.6,742
80.0,742
80.0,750
79.5,765
79.4,757
79.4,757
79.4,757
79.4,757
79.4,757
79.4,757
79.1,765
79.200005,757
79.200005,757
79.200005,757
79.4,750
79.6,750
80.0,742
80.0,750
80.0,750
79.8,757
79.6,757
79.5,757
79.700005,750
79.6,757
79.5,757
79.200005,765
78.700005,773
78.6,765
78.8,757
78.700005,765
78.6,765
78.3,773
78.1,773
78.5,757
78.700005,757
78.9,757
79.700005,734
80.9,718
81.1,734
81.3,734
81.4,734
81.0,750
80.700005,750
80.0,765
79.5,765
79.200005,765
79.0,765
79.1,757
78.6,773
78.3,773
77.8,781
78.0,765
77.9,773
78.1,765
77.700005,781
77.4,781
77.0,789
76.9,781
77.1,773
77.3,773
77.4,773
77.5,773
77.5,773
77.5,773
77.5,773
77.5,773
77.3,781
76.9,789
76.9,781
76.9,781
76.9,781
76.6,789
76.4,789
76.3,789
76.9,765
77.1,773
77.8,757
78.5,750
78.700005,757
79.4,742
79.9,742
80.200005,742
79.9,757
79.9,750
79.700005,757
79.6,757
79.200005,765
78.700005,773
78.9,757
79.200005,750
79.200005,757
79.4,750
79.4,757
79.9,742
80.200005,742
80.4,742
80.8,734
80.6,750
80.9,734
80.9,742
81.1,734
81.0,742
80.700005,750
80.5,750
80.3,750
80.200005,750
80.4,742
80.8,734
81.6,718
82.700005,703
83.5,703
84.3,695
84.9,695
85.0,703
85.1,703
84.3,726
83.5,734
83.0,734
82.6,734
81.8,750
81.3,750
80.9,750
80.6,750
80.700005,742
80.8,742
80.6,750
80.4,750
80.1,757
79.9,757
79.4,765
79.1,765
78.4,781
77.700005,789
77.4,781
77.5,773
78.0,757
78.4,757
78.200005,773
78.0,773
78.1,765
78.200005,765
78.5,757
78.700005,757
78.6,765
78.8,757
78.700005,765
79.1,750
79.4,750
79.6,750
80.0,742
79.8,757
79.6,757
79.5,757
79.700005,750
79.6,757
79.700005,750
79.6,757
79.700005,750
79.8,750
80.4,734
80.6,742
80.9,734
80.9,742
80.6,750
80.700005,742
80.8,742
80.6,750
80.200005,757
80.1,750
80.1,750
80.1,750
80.1,750
80.3,742
80.200005,750
80.1,750
80.1,750
80.1,750
80.1,750
80.1,750
79.6,765
79.5,757
79.700005,750
79.6,757
79.200005,765
78.700005,773
78.4,773
78.4,765
78.700005,757
78.9,757
79.0,757
79.1,757
78.9,765
79.200005,750
79.4,750
79.6,750
79.700005,750
79.6,757
79.700005,750
80.1,742
80.3,742
80.5,742
80.3,750
79.700005,765
79.3,765
79.3,757
79.5,750
79.700005,750
79.8,750
79.9,750
79.9,750
80.200005,742
79.9,757
79.9,750
79.4,765
78.9,773
78.700005,765
78.4,773
78.200005,773
77.8,781
77.5,781
77.5,773
77.8,765
78.0,765
78.4,757
78.200005,773
77.8,781
77.5,781
77.0,789
77.200005,773
77.1,781
77.0,781
76.700005,789
76.700005,781
77.0,773
77.200005,773
77.3,773
76.9,789
76.4,796
76.3,789
76.5,781
76.6,781
76.4,789
75.9,804
75.1,820
75.200005,796
75.700005,781
76.3,773
76.9,765
77.1,773
77.3,773
77.3,476
76.6,859
76.9,718
77.8,703
80.4,695
81.4,718
82.1,718
82.6,718
82.9,718
83.4,710
84.0,703
84.200005,710
84.0,718
83.6,726
83.0,734
82.4,742
81.9,742
81.1,757
80.3,765
79.200005,781
78.5,781
78.0,781
77.6,781
78.1,757
78.700005,750
79.4,742
80.4,726
81.4,718
81.8,726
82.9,703
84.9,671
86.6,664
87.700005,664
88.200005,671
88.3,679
87.200005,710
85.5,734
84.6,726
83.700005,734
82.9,742
81.8,757
81.8,734
81.8,734
81.5,742
81.3,742
80.700005,757
81.3,726
81.700005,726
