timestamp,x,y,z
1207858,-0.13639577,0.13878867,9.688885
1207862,-0.11485959,0.16271774,9.758279
1207867,-0.10050214,0.16989647,9.784601
1207872,-0.14357449,0.11485959,9.705635
1207877,-0.15314612,0.12443122,9.7176
1207881,-0.07657306,0.1459674,9.763065
1207886,-0.12443122,0.107680865,9.751101
1207891,-0.1459674,0.16989647,9.684099
1207896,-0.1459674,0.1459674,9.731957
1207900,-0.13400285,0.1483603,9.767851
1207905,-0.1196454,0.12443122,9.722385
1207910,-0.14357449,0.18664683,9.73435
1207915,-0.05025107,0.12921704,9.753493
1207919,-0.1483603,0.1172525,9.755886
1207924,-0.11485959,0.12921704,9.712814
1207929,-0.13400285,0.15553902,9.73435
1207934,-0.11246668,0.16511066,9.739136
1207938,-0.11485959,0.13400285,9.753493
1207943,-0.15793194,0.14357449,9.688885
1207948,-0.13400285,0.16032484,9.746315
1207953,-0.13400285,0.12921704,9.784601
1207957,-0.08614469,0.07657306,9.753493
1207962,-0.14357449,0.13160995,9.719993
1207967,-0.12921704,0.1483603,9.686492
1207972,-0.13878867,0.105287954,9.753493
1207976,-0.1459674,0.14118157,9.724778
1207981,-0.1172525,0.1172525,9.746315
1207986,-0.14118157,0.12921704,9.7415285
1207991,-0.1196454,0.09571633,9.794173
1207995,-0.16750357,0.16750357,9.6912775
1208000,-0.12921704,0.16032484,9.7176
1208005,-0.105287954,0.1196454,9.758279
1208010,-0.17468229,0.1172525,9.729565
1208014,-0.13160995,0.13878867,9.743921
1208019,-0.15075321,0.12203831,9.794173
1208024,-0.07896597,0.110073775,9.763065
1208029,-0.088537596,0.107680865,9.755886
1208033,-0.1196454,0.13639577,9.748708
1208038,-0.09810923,0.1196454,9.770244
1208043,-0.13639577,0.12921704,9.73435
1208048,-0.1459674,0.12443122,9.715207
1208052,-0.13400285,0.17228939,9.7415285
1208057,-0.088537596,0.14357449,9.767851
1208062,-0.15075321,0.16511066,9.710421
1208067,-0.16271774,0.12203831,9.703242
1208071,-0.09810923,0.12921704,9.710421
1208076,-0.11246668,0.10289505,9.722385
1208081,-0.15553902,0.15793194,9.6912775
1208086,-0.15793194,0.15793194,9.753493
1208090,-0.12682413,0.12443122,9.782208
1208095,-0.105287954,0.14118157,9.722385
1208100,-0.12921704,0.1459674,9.708028
1208105,-0.12443122,0.1172525,9.777423
1208109,-0.15314612,0.12682413,9.731957
1208114,-0.15553902,0.14357449,9.736743
1208119,-0.13639577,0.15314612,9.708028
1208124,-0.12443122,0.1196454,9.784601
1208128,-0.14357449,0.12682413,9.722385
1208133,-0.13400285,0.12443122,9.731957
1208138,-0.10289505,0.09810923,9.727171
1208143,-0.12921704,0.15314612,9.719993
1208147,-0.11246668,0.11246668,9.748708
1208152,-0.17228939,0.15314612,9.748708
1208157,-0.12921704,0.10289505,9.722385
1208162,-0.14118157,0.14118157,9.739136
1208166,-0.12443122,0.15075321,9.763065
1208171,-0.1459674,0.1483603,9.755886
1208176,-0.10289505,0.13160995,9.753493
1208181,-0.110073775,0.12682413,9.715207
1208185,-0.1459674,0.12921704,9.7415285
1208190,-0.15314612,0.09810923,9.736743
1208195,-0.12921704,0.13160995,9.751101
1208200,-0.12443122,0.15314612,9.758279
1208204,-0.07896597,0.12203831,9.755886
1208209,-0.12921704,0.12443122,9.753493
1208214,-0.13878867,0.16511066,9.739136
1208219,-0.14357449,0.1459674,9.739136
1208223,-0.13400285,0.17707519,9.724778
1208228,-0.11485959,0.105287954,9.708028
1208233,-0.16750357,0.11485959,9.705635
1208238,-0.07418015,0.15075321,9.7176
1208242,-0.1196454,0.11246668,9.746315
1208247,-0.13400285,0.08614469,9.743921
1208252,-0.11485959,0.14118157,9.736743
1208257,-0.1483603,0.12682413,9.698457
1208261,-0.1172525,0.1196454,9.753493
1208266,-0.12682413,0.110073775,9.731957
1208271,-0.11246668,0.110073775,9.751101
1208276,-0.107680865,0.12203831,9.715207
1208280,-0.11246668,0.12203831,9.743921
1208285,-0.14357449,0.15075321,9.755886
1208290,-0.15075321,0.16032484,9.748708
1208295,-0.110073775,0.1172525,9.724778
1208299,-0.13400285,0.13400285,9.712814
1208304,-0.14118157,0.12921704,9.751101
1208309,-0.14357449,0.15075321,9.715207
1208314,-0.17946811,0.13160995,9.727171
1208318,-0.1459674,0.11246668,9.763065
1208323,-0.11246668,0.16032484,9.722385
1208328,-0.13160995,0.15553902,9.73435
1208333,-0.110073775,0.13639577,9.698457
1208337,-0.09571633,0.14357449,9.746315
1208342,-0.10289505,0.14357449,9.758279
1208347,-0.11246668,0.09093051,9.772636
1208352,-0.15314612,0.1483603,9.751101
1208356,-0.12203831,0.12443122,9.729565
