,Signal,DevName,ID,Date,Session,FileName,FileType,FileSize,RecStart,RecEnd,Duration,BatteryStart,BatteryEnd,BatteryChange(mV),FullLoc,SubjectNames,SENSOR ID,SUBJECT ID,SUBJECT AGE,HR(BPM),HRC(%),BELT OFF,LEAD OFF,MOTION,BODY POSITION
0,DATA,Pilot_1,3420755,230131,0,DATA-Pilot_1-3420755-23013100.CSV,csv,12267,2023-01-31 14:38:04+00:00,2023-01-31 15:15:49+00:00,2265.0,4117,4094,-23,C:\Users\fourMs lab\Documents\Equivital\ProjectData\AlexanderStandStill\CSV\DATA-Pilot_1-3420755-23013100.CSV,['Pilot_1'],3420755.0,Pilot_1,,79,95.0,0.0,1.0,Stationary,Upright
1,DATA,Pilot_1,3420755,230201,101,DATA-Pilot_1-3420755-23020100_0.CSV,csv,5366,2023-02-01 12:01:29+00:00,2023-02-01 12:17:44+00:00,975.0,4135,4123,-12,C:\Users\fourMs lab\Documents\Equivital\ProjectData\AlexanderStandStill\CSV\DATA-Pilot_1-3420755-23020100_0.CSV,['Pilot_1'],3420755.0,Pilot_1,,84,100.0,0.0,0.0,Stationary,Upright
2,DATA,Pilot_2,3420456,230203,0,DATA-Pilot_2-3420456-23020300.CSV,csv,8532,2023-02-03 11:40:06+00:00,2023-02-03 12:06:36+00:00,1590.0,4076,4065,-11,C:\Users\fourMs lab\Documents\Equivital\ProjectData\AlexanderStandStill\CSV\DATA-Pilot_2-3420456-23020300.CSV,['Pilot_2'],3420456.0,Pilot_2,,0,99.0,0.0,0.0,Stationary,Upright
