Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
Alexander Jensenius,OTHER_INDOOR,03-02-2023,12:46:51,00:11:13,,90,,,,,32,78,,,,0,,,,,,185.0,85.0,192,55,40,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,90,,,,,,,23.6,,
,00:00:01,89,,,,,,,23.6,,
,00:00:02,89,,,,,,,23.6,,
,00:00:03,88,,,,,,,23.6,,
,00:00:04,87,,,,,,,23.6,,
,00:00:05,87,,,,,,,23.7,,
,00:00:06,87,,,,,,,23.7,,
,00:00:07,88,,,,,,,23.7,,
,00:00:08,88,,,,,,,23.7,,
,00:00:09,89,,,,,,,23.7,,
,00:00:10,89,,,,,,,23.7,,
,00:00:11,89,,,,,,,23.7,,
,00:00:12,89,,,,,,,23.7,,
,00:00:13,89,,,,,,,23.7,,
,00:00:14,89,,,,,,,23.7,,
,00:00:15,89,,,,,,,23.8,,
,00:00:16,89,,,,,,,23.8,,
,00:00:17,89,,,,,,,23.8,,
,00:00:18,89,,,,,,,23.8,,
,00:00:19,89,,,,,,,23.8,,
,00:00:20,89,,,,,,,23.8,,
,00:00:21,89,,,,,,,23.8,,
,00:00:22,88,,,,,,,23.8,,
,00:00:23,87,,,,,,,23.8,,
,00:00:24,86,,,,,,,23.8,,
,00:00:25,86,,,,,,,23.8,,
,00:00:26,85,,,,,,,23.8,,
,00:00:27,84,,,,,,,23.8,,
,00:00:28,84,,,,,,,23.8,,
,00:00:29,84,,,,,,,23.8,,
,00:00:30,84,,,,,,,23.8,,
,00:00:31,84,,,,,,,23.8,,
,00:00:32,83,,,,,,,23.8,,
,00:00:33,83,,,,,,,23.8,,
,00:00:34,83,,,,,,,23.8,,
,00:00:35,83,,,,,,,23.8,,
,00:00:36,83,,,,,,,23.8,,
,00:00:37,83,,,,,,,23.8,,
,00:00:38,83,,,,,,,23.8,,
,00:00:39,83,,,,,,,23.8,,
,00:00:40,83,,,,,,,23.8,,
,00:00:41,83,,,,,,,23.8,,
,00:00:42,82,,,,,,,23.8,,
,00:00:43,81,,,,,,,23.9,,
,00:00:44,81,,,,,,,23.9,,
,00:00:45,81,,,,,,,23.9,,
,00:00:46,81,,,,,,,23.9,,
,00:00:47,81,,,,,,,23.9,,
,00:00:48,81,,,,,,,23.9,,
,00:00:49,82,,,,,,,23.9,,
,00:00:50,82,,,,,,,23.9,,
,00:00:51,82,,,,,,,23.9,,
,00:00:52,82,,,,,,,23.9,,
,00:00:53,83,,,,,,,23.9,,
,00:00:54,83,,,,,,,23.9,,
,00:00:55,83,,,,,,,23.9,,
,00:00:56,83,,,,,,,23.9,,
,00:00:57,84,,,,,,,23.9,,
,00:00:58,84,,,,,,,23.9,,
,00:00:59,84,,,,,,,23.9,,
,00:01:00,84,,,,,,,23.9,,
,00:01:01,84,,,,,,,23.9,,
,00:01:02,83,,,,,,,23.9,,
,00:01:03,83,,,,,,,23.9,,
,00:01:04,82,,,,,,,23.9,,
,00:01:05,82,,,,,,,23.9,,
,00:01:06,81,,,,,,,23.9,,
,00:01:07,80,,,,,,,23.9,,
,00:01:08,79,,,,,,,23.9,,
,00:01:09,80,,,,,,,23.9,,
,00:01:10,80,,,,,,,23.9,,
,00:01:11,78,,,,,,,23.9,,
,00:01:12,77,,,,,,,23.9,,
,00:01:13,76,,,,,,,23.9,,
,00:01:14,75,,,,,,,23.9,,
,00:01:15,75,,,,,,,23.9,,
,00:01:16,76,,,,,,,23.9,,
,00:01:17,77,,,,,,,23.9,,
,00:01:18,77,,,,,,,23.9,,
,00:01:19,77,,,,,,,23.9,,
,00:01:20,77,,,,,,,23.9,,
,00:01:21,78,,,,,,,23.9,,
,00:01:22,78,,,,,,,23.9,,
,00:01:23,77,,,,,,,23.9,,
,00:01:24,76,,,,,,,23.9,,
,00:01:25,76,,,,,,,23.9,,
,00:01:26,76,,,,,,,23.9,,
,00:01:27,73,,,,,,,23.9,,
,00:01:28,73,,,,,,,23.9,,
,00:01:29,72,,,,,,,23.9,,
,00:01:30,71,,,,,,,23.9,,
,00:01:31,71,,,,,,,23.9,,
,00:01:32,71,,,,,,,23.9,,
,00:01:33,72,,,,,,,23.9,,
,00:01:34,73,,,,,,,23.9,,
,00:01:35,74,,,,,,,23.9,,
,00:01:36,74,,,,,,,23.9,,
,00:01:37,76,,,,,,,23.9,,
,00:01:38,77,,,,,,,23.9,,
,00:01:39,78,,,,,,,23.9,,
,00:01:40,78,,,,,,,23.9,,
,00:01:41,78,,,,,,,23.9,,
,00:01:42,80,,,,,,,23.9,,
,00:01:43,81,,,,,,,23.9,,
,00:01:44,81,,,,,,,23.9,,
,00:01:45,82,,,,,,,23.9,,
,00:01:46,82,,,,,,,23.9,,
,00:01:47,83,,,,,,,23.9,,
,00:01:48,82,,,,,,,23.9,,
,00:01:49,81,,,,,,,23.9,,
,00:01:50,81,,,,,,,23.9,,
,00:01:51,79,,,,,,,23.9,,
,00:01:52,77,,,,,,,23.9,,
,00:01:53,77,,,,,,,24.0,,
,00:01:54,76,,,,,,,24.0,,
,00:01:55,77,,,,,,,24.0,,
,00:01:56,77,,,,,,,24.0,,
,00:01:57,77,,,,,,,23.9,,
,00:01:58,76,,,,,,,24.0,,
,00:01:59,76,,,,,,,24.0,,
,00:02:00,77,,,,,,,24.0,,
,00:02:01,78,,,,,,,24.0,,
,00:02:02,78,,,,,,,24.0,,
,00:02:03,79,,,,,,,24.0,,
,00:02:04,79,,,,,,,24.0,,
,00:02:05,79,,,,,,,24.0,,
,00:02:06,79,,,,,,,24.0,,
,00:02:07,80,,,,,,,24.0,,
,00:02:08,81,,,,,,,24.0,,
,00:02:09,81,,,,,,,24.0,,
,00:02:10,81,,,,,,,24.0,,
,00:02:11,81,,,,,,,24.0,,
,00:02:12,82,,,,,,,24.0,,
,00:02:13,83,,,,,,,24.0,,
,00:02:14,83,,,,,,,24.0,,
,00:02:15,84,,,,,,,24.0,,
,00:02:16,84,,,,,,,24.0,,
,00:02:17,84,,,,,,,24.0,,
,00:02:18,85,,,,,,,24.0,,
,00:02:19,85,,,,,,,24.0,,
,00:02:20,86,,,,,,,24.0,,
,00:02:21,86,,,,,,,24.0,,
,00:02:22,86,,,,,,,24.0,,
,00:02:23,86,,,,,,,24.0,,
,00:02:24,86,,,,,,,24.0,,
,00:02:25,86,,,,,,,24.0,,
,00:02:26,87,,,,,,,24.0,,
,00:02:27,87,,,,,,,24.0,,
,00:02:28,87,,,,,,,24.0,,
,00:02:29,87,,,,,,,24.0,,
,00:02:30,88,,,,,,,24.0,,
,00:02:31,89,,,,,,,24.0,,
,00:02:32,88,,,,,,,24.0,,
,00:02:33,88,,,,,,,24.0,,
,00:02:34,88,,,,,,,24.0,,
,00:02:35,89,,,,,,,24.0,,
,00:02:36,89,,,,,,,24.0,,
,00:02:37,89,,,,,,,24.0,,
,00:02:38,89,,,,,,,24.0,,
,00:02:39,89,,,,,,,24.0,,
,00:02:40,89,,,,,,,24.0,,
,00:02:41,89,,,,,,,24.0,,
,00:02:42,89,,,,,,,24.0,,
,00:02:43,90,,,,,,,24.0,,
,00:02:44,90,,,,,,,24.0,,
,00:02:45,90,,,,,,,24.0,,
,00:02:46,90,,,,,,,24.0,,
,00:02:47,90,,,,,,,24.0,,
,00:02:48,90,,,,,,,24.0,,
,00:02:49,91,,,,,,,24.0,,
,00:02:50,91,,,,,,,24.0,,
,00:02:51,91,,,,,,,24.0,,
,00:02:52,91,,,,,,,24.0,,
,00:02:53,91,,,,,,,24.0,,
,00:02:54,91,,,,,,,24.0,,
,00:02:55,91,,,,,,,24.0,,
,00:02:56,91,,,,,,,24.0,,
,00:02:57,91,,,,,,,24.0,,
,00:02:58,92,,,,,,,24.0,,
,00:02:59,92,,,,,,,24.0,,
,00:03:00,92,,,,,,,24.0,,
,00:03:01,92,,,,,,,24.0,,
,00:03:02,93,,,,,,,24.0,,
,00:03:03,93,,,,,,,24.0,,
,00:03:04,93,,,,,,,24.0,,
,00:03:05,92,,,,,,,24.0,,
,00:03:06,92,,,,,,,24.0,,
,00:03:07,91,,,,,,,24.0,,
,00:03:08,92,,,,,,,24.0,,
,00:03:09,92,,,,,,,24.0,,
,00:03:10,92,,,,,,,24.0,,
,00:03:11,93,,,,,,,24.0,,
,00:03:12,92,,,,,,,24.0,,
,00:03:13,92,,,,,,,24.0,,
,00:03:14,91,,,,,,,24.0,,
,00:03:15,91,,,,,,,24.0,,
,00:03:16,91,,,,,,,24.0,,
,00:03:17,90,,,,,,,24.0,,
,00:03:18,91,,,,,,,24.0,,
,00:03:19,91,,,,,,,24.0,,
,00:03:20,91,,,,,,,24.0,,
,00:03:21,91,,,,,,,24.0,,
,00:03:22,91,,,,,,,24.0,,
,00:03:23,91,,,,,,,24.0,,
,00:03:24,89,,,,,,,24.0,,
,00:03:25,89,,,,,,,24.0,,
,00:03:26,90,,,,,,,24.0,,
,00:03:27,90,,,,,,,24.0,,
,00:03:28,89,,,,,,,24.0,,
