time,gFx,gFy,gFz
0.034413,0.0132,-0.0217,0.9978
0.063626,-0.0325,0.0117,1.021
0.065821,-0.0188,-0.0088,1.0225
0.087054,0.0159,-0.0159,0.9846
0.106137,-0.0083,-0.0042,1.009
0.128228,-0.0195,-0.0005,1.0185
0.146235,-0.0017,-0.0093,1.0014
0.165927,0.0015,-0.0086,0.998
0.185903,-0.0103,-0.0044,1.0107
0.209931,-0.0073,-0.0054,1.0095
0.226257,-0.0044,-0.0083,1.0024
0.247421,-0.0061,-0.009,1.0058
0.266161,-0.0086,-0.0054,1.008
0.287157,-0.0076,-0.0068,1.0073
0.306328,-0.0022,-0.0051,1.0019
0.33063,-0.0066,-0.0073,1.0056
0.346233,-0.0105,-0.0061,1.0093
0.365886,-0.0149,-0.0076,1.0293
0.386405,-0.0208,-0.0107,1.022
0.407486,0.0154,-0.0061,0.9839
0.426448,0.0166,-0.0139,0.9904
0.44638,0.0034,-0.0068,1.0024
0.465911,-0.0151,-0.0064,1.0203
0.486353,-0.0059,-0.0071,1.0088
0.506185,0.0098,-0.01,0.997
0.527717,0.0034,-0.0083,1.0014
0.545989,-0.0046,-0.009,1.0129
0.566131,-0.0059,-0.0088,1.0119
0.586021,0.0029,-0.0076,1.0032
0.60628,0.0044,-0.01,1.0024
0.626446,-0.001,-0.0088,1.0093
0.646273,-0.0029,-0.0083,1.01
0.665921,0.0005,-0.0071,1.0032
0.686929,0.0007,-0.01,1.0049
0.705859,-0.0024,-0.0071,1.0039
0.726852,-0.0005,-0.0103,1.0068
0.746522,0.0012,-0.01,1.0046
0.76578,0.0002,-0.0081,1.0036
0.785815,-0.001,-0.0066,1.008
0.807295,-0.002,-0.0098,1.0085
0.826473,0.0007,-0.0078,1.0044
0.845497,0.001,-0.0086,1.0039
0.866267,-0.0029,-0.0078,1.0068
0.886243,-0.0015,-0.0098,1.0075
0.906909,0.0015,-0.0093,1.0058
0.931617,0.0012,-0.0103,1.0041
0.946342,-0.0022,-0.0086,1.0063
0.96628,-0.0007,-0.0083,1.0054
0.986498,0.0002,-0.0098,1.0058
1.006342,0.002,-0.0088,1.0066
1.026465,-0.0012,-0.01,1.0073
1.046446,-0.002,-0.0066,1.0063
1.065861,0.001,-0.0088,1.0051
1.085558,-0.0012,-0.0103,1.0049
1.107324,0.0017,-0.0076,1.0066
1.126111,-0.0005,-0.009,1.0095
1.146379,0.0005,-0.0083,1.0054
1.166052,0.0005,-0.0078,1.0061
1.1856,-0.001,-0.009,1.0051
1.206386,-0.0002,-0.0061,1.0068
1.227062,-0.0007,-0.0093,1.0051
1.2461,-0.0012,-0.0086,1.0073
1.266703,-0.0017,-0.0103,1.0061
1.286987,0.0012,-0.0095,1.0061
1.310999,0.0005,-0.0078,1.0083
1.32623,0.002,-0.009,1.0058
1.350136,-0.0007,-0.0076,1.0066
